,State,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,HUESTIMATE2010,HUESTIMATE2011,HUESTIMATE2012,HUESTIMATE2013,HUESTIMATE2014,HUESTIMATE2015,HUESTIMATE2016,HUESTIMATE2017,HUESTIMATE2018,HUESTIMATE2019,2010 Mean Housing,2011 Mean Housing,2012 Mean Housing,2013 Mean Housing,2014 Mean Housing,2015 Mean Housing,2016 Mean Housing,2017 Mean Housing,2018 Mean Housing,2019 Mean Housing
0,Alabama,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,2168,2772,5703,7343,2725,3036,3620,5309,8658,12159,2174761,2181026.0,2191746.0,2203508.0,2213610.0,2225606.0,2238800.0,2254615.0,2270705.0,2284847.0,126957.33333333333,121023.16666666667,118869.5,120236.25,122515.33333333333,125240.83333333333,128270.08333333333,132391.41666666666,138419.08333333334,145089.08333333334
1,Alaska,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545,1598,422,1029,-701,-8443,-5893,-2882,-8141,-10220,-8823,307181,308498.0,310002.0,311243.0,312396.0,313933.0,315361.0,316910.0,318307.0,319854.0,247274.91666666666,244533.75,248327.25,255733.08333333334,263718.25,272744.0,277879.0,279400.5,281530.1666666667,298146.8181818182
2,Arizona,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,5672,27551,44944,42047,61260,65072,82382,76071,92050,98799,2849425,2859978.0,2872651.0,2891186.0,2914100.0,2936981.0,2966542.0,3000102.0,3037005.0,3075981.0,162216.75,144181.16666666666,154015.08333333334,181565.16666666666,197273.08333333334,206487.0,219704.75,233962.83333333334,251313.5,266522.8333333333
3,Arkansas,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,3270,9658,2439,171,-271,3197,4435,6020,2882,2783,1318072,1324638.0,1330927.0,1338640.0,1345392.0,1352639.0,1360401.0,1369522.0,1379970.0,1389129.0,106798.25,103784.75,104656.66666666667,107047.58333333333,108677.16666666667,111268.33333333333,114960.5,119624.75,125122.16666666667,130340.33333333333
4,California,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,-721,47853,56502,62836,84680,76932,19523,-24732,-83981,-129386,13688147,13728423.0,13771156.0,13827794.0,13906691.0,13985614.0,14075264.0,14172348.0,14275353.0,14366336.0,333805.0,316157.3333333333,314443.6666666667,373854.5833333333,422576.0,445660.0,476744.0,508450.75,547582.25,558383.1666666666
5,Colorado,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,8433,39632,38739,44424,48408,69676,58435,44783,53185,41858,2215012,2226631.0,2239177.0,2261232.0,2287950.0,2316814.0,2347589.0,2384092.0,2422816.0,2464164.0,241978.0,232901.91666666666,237187.58333333334,256510.5,276616.75,305650.75,337953.0833333333,367036.6666666667,394632.0833333333,411798.0
6,Connecticut,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,2572,869,-1471,-6007,-6980,-13488,-14824,-9356,-5478,-9736,1488645,1491803.0,1494237.0,1498157.0,1502807.0,1507299.0,1512528.0,1517251.0,1521019.0,1524992.0,284679.5833333333,268971.0833333333,253554.08333333334,258873.75,261708.16666666666,259867.41666666666,259935.66666666666,266364.4166666667,273427.4166666667,276504.4166666667
7,Delaware,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764,638,4381,4414,5655,5973,6290,5087,5958,7335,7034,406498,408937.0,411192.0,414557.0,418666.0,423137.0,427667.0,432753.0,438617.0,443781.0,244795.5,228997.5,216896.66666666666,216233.5,225749.08333333334,232514.33333333334,240417.58333333334,247035.83333333334,256455.83333333334,263493.6666666667
8,District of Columbia,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,2169,9951,10095,10788,6983,8225,5508,4514,2431,401,296688,296365.0,299822.0,302495.0,304590.0,307566.0,311257.0,314702.0,319462.0,322793.0,452558.0833333333,443693.6666666667,459680.3333333333,515859.5,581828.5,586240.4166666666,614978.4166666666,644773.3333333334,675594.5,713192.25
9,Florida,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,32460,169141,202523,215179,260032,330283,372675,324642,267130,222588,8995100,9020844.0,9049994.0,9100944.0,9173108.0,9242686.0,9337379.0,9438687.0,9545770.0,9673682.0,163079.75,148066.08333333334,147267.0,164132.16666666666,183126.83333333334,195948.33333333334,212013.33333333334,228633.08333333334,245217.58333333334,257218.0
